Posting date,Amount,Payee,Notes,Category
1/5/2024,4681,Employer Inc.,Monthly Salary,Salary
1/6/2024,-191.2,Amazon,Monthly subscription,Shopping
1/6/2024,-91.26,Starbucks,Membership fee,Food & Drink
1/6/2024,-38.79,Rent Payment,Bill payment,Housing
1/8/2024,-129.3,Electric Company,Direct deposit,Utilities
1/9/2024,-169.19,Shell Gas,Bill payment,Transportation
1/10/2024,-106.84,Starbucks,Bill payment,Food & Drink
1/10/2024,-124.29,CVS Pharmacy,Online purchase,Health
1/12/2024,-133.14,Electric Company,POS transaction,Utilities
1/13/2024,-187.25,CVS Pharmacy,Online purchase,Health
1/14/2024,-139.26,Water Company,POS transaction,Utilities
1/17/2024,-126.46,Electric Company,POS transaction,Utilities
1/19/2024,-22.9,AT&T,Online purchase,Utilities
1/20/2024,-75.24,Shell Gas,Monthly subscription,Transportation
1/21/2024,-35.94,Local Gym,POS transaction,Health & Fitness
1/23/2024,-105.68,CVS Pharmacy,Membership fee,Health
1/24/2024,-160.06,Shell Gas,Online purchase,Transportation
1/24/2024,-90.6,Amazon,Utility bill,Shopping
1/25/2024,-30.89,Netflix,Bill payment,Entertainment
1/25/2024,-85.21,Trader Joe's,In-store purchase,Groceries
1/26/2024,-57.95,Amazon,Monthly subscription,Shopping
1/26/2024,-20.77,Walmart,Direct deposit,Groceries
1/27/2024,-7.81,Walmart,Bill payment,Groceries
1/27/2024,-144.35,CVS Pharmacy,Utility bill,Health
1/28/2024,-53.92,Shell Gas,Online purchase,Transportation
1/28/2024,-14.3,AT&T,POS transaction,Utilities
2/3/2024,5008,Employer Inc.,Monthly Salary,Salary
2/6/2024,-132.04,Netflix,Online purchase,Entertainment
2/6/2024,-94.36,Netflix,Membership fee,Entertainment
2/6/2024,-110.18,Water Company,Utility bill,Utilities
2/7/2024,-10.17,Water Company,Monthly subscription,Utilities
2/7/2024,-55.84,Shell Gas,POS transaction,Transportation
2/8/2024,-198.15,Shell Gas,Online purchase,Transportation
2/9/2024,-13.83,Local Gym,Online purchase,Health & Fitness
2/9/2024,-38.77,Trader Joe's,POS transaction,Groceries
2/9/2024,-86.5,AT&T,Direct deposit,Utilities
2/10/2024,-151.37,Local Gym,In-store purchase,Health & Fitness
2/10/2024,-82.71,Netflix,POS transaction,Entertainment
2/12/2024,-28.04,Trader Joe's,Bill payment,Groceries
2/13/2024,-80.15,Rent Payment,Direct deposit,Housing
2/15/2024,-190.08,Water Company,POS transaction,Utilities
2/15/2024,-127.04,Starbucks,Direct deposit,Food & Drink
2/15/2024,-9.54,Walmart,Monthly subscription,Groceries
2/16/2024,-176.11,Trader Joe's,Utility bill,Groceries
2/16/2024,-43.18,Rent Payment,In-store purchase,Housing
2/17/2024,-80.29,Water Company,In-store purchase,Utilities
2/18/2024,-46.84,Local Gym,Direct deposit,Health & Fitness
2/18/2024,-36.77,Water Company,In-store purchase,Utilities
2/19/2024,-8.55,Shell Gas,Monthly subscription,Transportation
2/21/2024,-24.08,Rent Payment,Monthly subscription,Housing
2/21/2024,-162.35,AT&T,Utility bill,Utilities
2/23/2024,-116.81,Spotify,In-store purchase,Entertainment
2/24/2024,-125.56,Water Company,Bill payment,Utilities
2/24/2024,-165.02,AT&T,Bill payment,Utilities
2/25/2024,-39.19,Netflix,In-store purchase,Entertainment
2/25/2024,-117.22,Local Gym,Online purchase,Health & Fitness
2/26/2024,-72.93,Walmart,Monthly subscription,Groceries
2/28/2024,-18.88,AT&T,Utility bill,Utilities
2/29/2024,-189.06,Shell Gas,POS transaction,Transportation
3/1/2024,-111.85,Local Gym,Monthly subscription,Health & Fitness
3/4/2024,5571,Employer Inc.,Monthly Salary,Salary
3/6/2024,-176.67,Rent Payment,In-store purchase,Housing
3/7/2024,-20.86,Walmart,In-store purchase,Groceries
3/9/2024,-78.37,Netflix,POS transaction,Entertainment
3/10/2024,-51.53,Amazon,Direct deposit,Shopping
3/10/2024,-148.72,CVS Pharmacy,Membership fee,Health
3/10/2024,-50.48,Spotify,Monthly subscription,Entertainment
3/10/2024,-62.18,Trader Joe's,Bill payment,Groceries
3/12/2024,-88.09,Rent Payment,Bill payment,Housing
3/12/2024,-22.79,Water Company,Direct deposit,Utilities
3/12/2024,-191.58,Netflix,Utility bill,Entertainment
3/13/2024,-19.19,Netflix,In-store purchase,Entertainment
3/13/2024,-77.98,Spotify,Utility bill,Entertainment
3/15/2024,-168.21,Shell Gas,Direct deposit,Transportation
3/15/2024,-194.98,Spotify,Membership fee,Entertainment
3/16/2024,-142.64,Water Company,POS transaction,Utilities
3/17/2024,-191.92,Electric Company,Bill payment,Utilities
3/19/2024,-112.16,Spotify,In-store purchase,Entertainment
3/20/2024,-21.24,Rent Payment,POS transaction,Housing
3/20/2024,-32.88,Rent Payment,Monthly subscription,Housing
3/22/2024,-189.71,Electric Company,Utility bill,Utilities
3/22/2024,-24.72,Amazon,In-store purchase,Shopping
3/22/2024,-156.4,Walmart,In-store purchase,Groceries
3/22/2024,-109.19,Electric Company,Bill payment,Utilities
3/23/2024,-178.92,Starbucks,Online purchase,Food & Drink
3/24/2024,-22.8,CVS Pharmacy,POS transaction,Health
3/24/2024,-156.54,Rent Payment,Online purchase,Housing
3/24/2024,-80.89,AT&T,Utility bill,Utilities
3/25/2024,-166.16,CVS Pharmacy,Bill payment,Health
3/25/2024,-116.82,Rent Payment,Utility bill,Housing
3/26/2024,-151.71,Shell Gas,Bill payment,Transportation
3/27/2024,-63.04,Rent Payment,Utility bill,Housing
3/28/2024,-151.42,Trader Joe's,Direct deposit,Groceries
3/28/2024,-157.35,Netflix,Utility bill,Entertainment
3/29/2024,-174.09,AT&T,Utility bill,Utilities
3/30/2024,-112.97,Local Gym,Online purchase,Health & Fitness
3/30/2024,-51.46,Rent Payment,Monthly subscription,Housing
3/30/2024,-120.42,Spotify,Utility bill,Entertainment
4/1/2024,5205,Employer Inc.,Monthly Salary,Salary
4/6/2024,-48.6,Trader Joe's,Utility bill,Groceries
4/6/2024,-127.37,Amazon,Bill payment,Shopping
4/8/2024,-118.76,Starbucks,Membership fee,Food & Drink
4/9/2024,-95.42,Electric Company,In-store purchase,Utilities
4/10/2024,-54.33,Rent Payment,Bill payment,Housing
4/11/2024,-161.41,CVS Pharmacy,Membership fee,Health
4/12/2024,-89.72,Netflix,POS transaction,Entertainment
4/14/2024,-150.12,Amazon,Membership fee,Shopping
4/15/2024,-181.74,Water Company,Utility bill,Utilities
4/17/2024,-25.82,Netflix,Utility bill,Entertainment
4/17/2024,-191.95,CVS Pharmacy,Monthly subscription,Health
4/18/2024,-194.13,Starbucks,Membership fee,Food & Drink
4/18/2024,-7.21,Water Company,Membership fee,Utilities
4/20/2024,-178.77,Spotify,Bill payment,Entertainment
4/21/2024,-178.6,Starbucks,POS transaction,Food & Drink
4/22/2024,-140.67,Shell Gas,Membership fee,Transportation
4/22/2024,-21.16,Water Company,Membership fee,Utilities
4/23/2024,-56.86,Amazon,Utility bill,Shopping
4/23/2024,-37.41,Rent Payment,In-store purchase,Housing
4/24/2024,-194.01,Water Company,Membership fee,Utilities
4/25/2024,-28.17,Walmart,In-store purchase,Groceries
4/26/2024,-59.09,Electric Company,POS transaction,Utilities
4/27/2024,-79.92,Netflix,Bill payment,Entertainment
4/27/2024,-185.31,Water Company,In-store purchase,Utilities
4/28/2024,-13.86,AT&T,Direct deposit,Utilities
4/30/2024,-78.1,Rent Payment,Direct deposit,Housing
5/4/2024,4868,Employer Inc.,Monthly Salary,Salary
5/6/2024,-7.67,Local Gym,Online purchase,Health & Fitness
5/6/2024,-156.63,Spotify,Online purchase,Entertainment
5/6/2024,-135.98,Spotify,Online purchase,Entertainment
5/7/2024,-12.18,Trader Joe's,Online purchase,Groceries
5/7/2024,-21.14,Local Gym,In-store purchase,Health & Fitness
5/9/2024,-197.31,AT&T,Membership fee,Utilities
5/10/2024,-199.34,Starbucks,Online purchase,Food & Drink
5/10/2024,-124.62,Water Company,Utility bill,Utilities
5/10/2024,-10.14,Shell Gas,Utility bill,Transportation
5/11/2024,-190.21,AT&T,Bill payment,Utilities
5/14/2024,-65.36,Netflix,Utility bill,Entertainment
5/15/2024,-78.68,Spotify,Direct deposit,Entertainment
5/18/2024,-123.2,Shell Gas,Monthly subscription,Transportation
